id_hex,lon,lat,ds_codigo,ds_nome,ds_subpref,iptc_2025,classe_iptc,pop_total,renda_per_capita,decil_renda,pct60,pct60_car,penal_car,dep_pico,deficit
89a810701c3ffff,-46.4922078134462,-23.48576704657,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,3046,562.8,4.0,10.658029585450143,67.4022204685653,6.3240789423759685,15.424295603917779,8743.026451461516
89a810701c7ffff,-46.4952202687555,-23.4840935923734,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1869,528.3,4.0,18.03619440018579,69.88915566041551,3.874939142355639,10.218563223057343,0.0
89a810701cbffff,-46.4891055961663,-23.4843706846985,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1507,444.8,2.0,16.955220897222738,70.45351608851833,4.155269725802192,8.046245711172304,0.0
89a810701cfffff,-46.4921180774586,-23.4826972608148,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,1877,507.8,3.0,17.568397433601426,71.31533703912105,4.0592966608737395,8.334179397709036,0.0
89a810701d3ffff,-46.4922975504897,-23.4888367188437,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,2943,466.0,3.0,7.72825430130573,66.61174613775039,8.61924873855354,22.773849238944386,17069.71107970425
89a810701d7ffff,-46.4953100195706,-23.4871633125138,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,407,329.8,1.0,5.864201096947058,66.63525874848207,11.363058266056537,21.569249747001443,3119.3126747107212
89a810701dbffff,-46.4891953184554,-23.4874404225724,28.0,ERMELINO MATARAZZO,ERMELINO MATARAZZO,70.6,Média,2138,453.7,3.0,8.541403569988434,65.69651632075592,7.691536383035566,20.45337895637297,10662.112853501229
89a81070213ffff,-46.4554282599394,-23.4843555301684,74.0,SAO MIGUEL,SAO MIGUEL,77.2,Alta,543,336.2,1.0,2.313248056310103,53.39835215305035,23.083712102292594,1.972369007448908,6089.805786982136
89a81070217ffff,-46.4584410975685,-23.4826826793937,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,274,314.0,1.0,4.241513218477793,55.99132517536248,13.20078997548352,189.95122721797682,2544.596018923521
89a81070283ffff,-46.4586202569221,-23.4888224485495,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,2642,294.9,1.0,3.0417057099248637,46.350692611032095,15.23838827003979,9.798135674514628,27705.740641961595
89a81070287ffff,-46.46163308218,-23.4871496151357,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,2681,295.4,1.0,2.3599266545194473,50.52377662211017,21.4090452876377,7.647306840940233,29942.569806928386
89a8107028bffff,-46.4555178253942,-23.4874254237891,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,1005,423.6,2.0,4.0619334876191955,49.953379172332994,12.297931348356954,11.603784066919573,9513.758647827266
89a8107028fffff,-46.4585306767303,-23.4857526208062,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,3780,365.5,1.0,2.792714672446802,52.360157736688805,18.748838989274226,3.5537942483800142,40580.73934900047
89a81070293ffff,-46.4587098379426,-23.491892162573,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,1910,500.0,3.0,3.5701039754221,50.03934173933238,14.016214116961715,6.327371581455768,19020.269012425884
89a81070297ffff,-46.4617226768573,-23.4902193771956,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,1242,369.3,1.0,2.412526733318467,50.53703496157681,20.947761640784954,6.053025878050638,13805.86492078326
89a8107029bffff,-46.455607391581,-23.4904952036001,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,3316,385.5,1.0,4.6702572984414665,57.12966482686747,12.23265896847535,14.872468916518649,29373.468567885702
89a810702a3ffff,-46.4645562598917,-23.4824067802847,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,666,407.0,2.0,7.097573290598537,54.13062266245943,7.626638069966954,149.51866444615948,4282.903950372932
89a810702b3ffff,-46.4646458677986,-23.4854767034867,87.0,VILA JACUI,SAO MIGUEL,72.4,Média,2388,394.9,2.0,2.957476259195626,56.95635319985257,19.2584312461543,2.6775775444507954,25243.270379894897
