ds_codigo,ds_nome,ds_subpref,iptc_2025,classe_iptc,pop,hexagonos,pct60,pct60_car,penal_car,dep_pico,renda,deficit,ponto_cego
77.0,SAUDE,VILA MARIANA,72.2,Média,131818.0,88.0,51.71513190408824,98.9266612435724,1.8853153399389226,3.4435423699264143,2543.5581536664185,0.0,False
78.0,SE,SE,79.5,Alta,24548.0,20.0,64.06264667823737,99.43165686628406,1.506970327978384,0.6934125555227747,875.0494989408506,0.0,False
90.0,VILA MARIANA,VILA MARIANA,77.5,Alta,127238.0,79.0,59.06099556085724,99.38890799367184,1.6588770033084885,2.354845661085755,3754.06592920354,0.0,False
86.0,VILA GUILHERME,VILA MARIA-VILA GUILHERME,72.9,Média,54594.0,64.0,34.55401526134328,97.7471369998883,2.8744322364173938,7.602467905757469,1195.574086895996,0.0,False
1.0,AGUA RASA,MOOCA,74.9,Alta,83615.0,67.0,29.1644075392391,97.19539209118197,3.325700265220359,12.317179165365845,1328.3109167015486,0.0,False
71.0,SANTO AMARO,SANTO AMARO,78.2,Alta,75098.0,144.0,41.011965052217924,95.26582321202419,2.271386455110624,4.289027145980167,3062.8563996378066,0.0,False
32.0,MOEMA,VILA MARIANA,84.4,Muito Alta,79999.0,76.0,53.18573146176919,99.16123151922878,1.870928370869277,2.180626213794024,4835.71322641533,0.0,False
6.0,BARRA FUNDA,LAPA,84.4,Muito Alta,17604.0,43.0,48.971826578936856,99.0451645562762,1.8629536462023195,5.97540142706488,2290.6851795046578,0.0,False
7.0,BELA VISTA,SE,85.2,Muito Alta,71749.0,27.0,60.11227228972217,99.54502934868087,1.6721154503032312,1.3683907008816654,2574.0320102022324,0.0,False
8.0,BELEM,MOOCA,84.5,Muito Alta,45437.0,54.0,45.198175332653406,98.30764878381615,2.090645620676469,4.7149007984311435,1317.6077579945859,0.0,False
9.0,BOM RETIRO,SE,81.3,Alta,33102.0,36.0,58.26599113430813,99.20155000881014,1.6233241873820723,1.2501770898811766,993.0850099691862,0.0,False
10.0,BRAS,MOOCA,86.8,Muito Alta,29797.0,34.0,59.9503852524131,99.16129818373783,1.6827739407360818,2.0582014878351416,889.8454408161895,0.0,False
12.0,BUTANTA,BUTANTA,75.4,Alta,60384.0,88.0,38.3114721181038,95.19328974107889,2.447345737061988,9.77758463069678,1997.1285141759408,0.0,False
14.0,CAMBUCI,SE,81.4,Alta,36997.0,37.0,45.92629656503472,99.1936858771513,2.1835063568921074,4.6553399003170615,1706.9475011487416,0.0,False
15.0,CAMPO BELO,SANTO AMARO,79.3,Alta,65317.0,77.0,41.83950821235718,98.35080127917614,2.330087882431504,3.828553297867227,2957.9270542125328,0.0,False
21.0,CASA VERDE,CASA VERDE-CACHOEIRINHA,73.5,Alta,88926.0,68.0,30.21585819942934,97.65952938163265,3.3410304868518685,8.507446865662603,1117.1024278613681,0.0,False
26.0,CONSOLACAO,SE,80.4,Alta,51299.0,32.0,60.79323269160581,99.29213488419147,1.5893939858448325,2.6124720258188967,3828.1107058617126,0.0,False
34.0,IPIRANGA,IPIRANGA,74.1,Alta,108121.0,98.0,43.320758682605124,98.94314495122534,2.355310424903049,5.287667990406099,1538.574459170744,0.0,False
